edad,hombre,estrato_energia,tipo_ocupacion,maximo_nivel_educativo,ocupado,nivel_educativo_alto,grado_escolar_aprobado,actividad_ultima_semana,cotizante,pet,llave_hogar,llave_persona,llave_vivienda,horas_trabajadas,ingreso_total,tamanio_firma,informal,chunk,chunk_origen,ans_educ,nivel_educ,exp_potencial,estrato_factor,ln_ingreso_total,edu_may_10,mujer
23,1,2,1,6,1,5,11,1,2,1,1,2,4514409,80,800000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,6,2,13.592367006650065,1,0
38,1,3,1,5,1,4,8,6,1,1,1,2,4514410,84,3201666.75,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,24,3,14.979182091544795,0,0
22,1,3,1,6,1,5,11,1,1,1,1,3,4514411,48,766883.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,5,3,13.550090422826504,1,0
21,0,3,1,6,1,5,11,1,1,1,1,4,4514411,48,737717,2,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,4,3,13.511315561204945,1,1
47,1,3,1,6,1,5,11,1,1,1,1,1,4514411,48,766883.6875,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,30,3,13.550090422826504,1,0
50,0,3,1,6,1,5,11,1,1,1,1,2,4514411,48,798967.0625,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,33,3,13.591075000494449,1,1
35,1,3,1,7,1,6,2,1,1,1,1,1,4514412,50,1541473.375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,17,3,14.24824925402165,1,0
37,0,3,1,7,1,6,3,6,1,1,1,2,4514412,40,889217,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,18.5,3,13.698096579198017,1,1
24,0,2,1,7,1,6,5,1,1,1,1,3,4514413,45,1058300,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,4.5,2,13.872174405081816,1,1
47,0,2,3,5,1,4,6,1,2,1,1,2,4514413,36,320000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,6,secundaria,35,2,12.676076274775909,0,1
43,1,2,4,6,1,5,11,1,2,1,1,1,4514414,70,2000000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,26,2,14.508657738524219,1,0
19,1,3,4,6,1,5,11,1,2,1,1,3,4514415,48,1700000,3,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,2,3,14.346138809026444,1,0
18,1,3,1,7,1,6,0,6,1,1,1,2,4514415,48,1162306.625,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,terciaria,1,3,13.965917058520915,1,0
46,0,3,3,6,1,5,11,1,2,1,1,1,4514415,40,360000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,29,3,12.793859310432293,1,1
57,0,2,1,6,1,5,10,1,1,1,1,2,4514416,48,780000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,10,media,41,2,13.567049198665774,0,1
24,1,2,1,6,1,5,11,6,2,1,1,3,4514416,16,600000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,7,2,13.304684934198283,1,0
20,0,2,1,7,1,6,2,1,1,1,1,5,4514416,48,737717,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,2,2,13.511315561204945,1,1
57,0,2,4,5,1,4,9,1,3,1,1,1,4514418,32,800000,1,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,9,secundaria,42,2,13.592367006650065,0,1
42,1,2,1,5,1,4,7,6,2,1,1,3,4514419,50,737717,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,7,secundaria,29,2,13.511315561204945,0,0
25,1,2,1,6,1,5,11,1,1,1,1,2,4514420,48,1274806.625,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,8,2,14.058305058405445,1,0
58,0,3,2,7,1,6,5,6,1,1,1,2,4514421,30,2333333.25,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,38.5,3,14.662808382637191,1,1
46,1,2,1,6,1,5,11,1,1,1,1,1,4514422,50,2600000,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,29,2,14.77102200299171,1,0
54,1,2,4,5,1,4,7,6,2,1,1,1,4514423,5,500000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,7,secundaria,41,2,13.122363377404328,0,0
25,1,2,1,6,1,5,11,1,1,1,1,3,4514423,48,950000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,8,2,13.764217263576723,1,0
31,0,3,1,7,1,6,5,1,1,1,1,1,4514424,48,2166666.75,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,11.5,3,14.588700484659293,1,1
23,0,3,1,7,1,6,6,6,1,1,1,2,4514428,45,1599806.625,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14,terciaria,3,3,14.285393320530927,1,1
25,1,3,1,7,1,6,5,2,1,1,1,1,4514428,40,903140,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,5.5,3,13.713632859141546,1,0
26,1,2,1,6,1,5,11,1,2,1,1,1,4514429,48,1200000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,9,2,13.997832114758229,1,0
31,1,3,5,7,1,6,7,1,1,1,1,1,4514430,48,4500000,2,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14.5,terciaria,10.5,3,15.319587954740548,1,0
35,0,3,1,7,1,6,5,6,1,1,1,2,4514430,48,4441000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,15.5,3,15.30639013427424,1,1
52,1,2,1,5,1,4,8,1,1,1,1,1,4514431,48,1166473.375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,38,2,13.969495545493894,0,0
51,0,2,1,5,1,4,8,1,1,1,1,2,4514431,48,882333.4375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,37,2,13.6903253105993,0,1
49,0,2,4,6,1,5,10,1,2,1,1,2,4514433,48,300000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,10,media,33,2,12.611537753638338,0,1
60,1,2,1,6,1,5,11,1,1,1,1,1,4514433,54,1483140,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,43,2,14.209672019901046,1,0
30,1,3,1,6,1,5,11,1,1,1,1,1,4514434,48,1304806.625,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,13,3,14.08156540768255,1,0
32,1,3,1,5,1,4,9,1,2,1,2,1,4514434,84,900000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,9,secundaria,17,3,13.710150042306449,0,0
27,1,3,1,3,1,3,3,1,1,1,4,1,4514434,48,1223140,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,3,primaria,18,3,14.01693188072616,0,0
52,1,3,4,6,1,5,11,6,2,1,1,1,4514435,70,600000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,35,3,13.304684934198283,1,0
48,0,3,4,6,1,5,11,6,2,1,1,2,4514435,70,600000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,31,3,13.304684934198283,1,1
21,1,3,1,7,1,6,2,1,1,1,1,3,4514435,48,737717,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,3,3,13.511315561204945,1,0
30,1,2,1,7,1,6,3,1,1,1,1,1,4514436,48,1000000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,11.5,2,13.815510557964274,1,0
